City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Sao Filipe,CV,14.8961,-24.4956,77.92,78,83,0.31,broken clouds
219,Cidreira,BR,-30.1811,-50.2056,58.6,87,2,6.53,clear sky
220,Sinop,TR,41.7711,34.8709,46.83,87,62,1.99,broken clouds
221,Bagan,RU,54.1001,77.6646,48.76,64,100,9.44,overcast clouds
222,Ketchikan,US,55.3422,-131.6461,55.87,88,100,3.44,overcast clouds
223,Narsaq,GL,60.9167,-46.05,37.62,99,100,7.9,light rain
224,Grindavik,IS,63.8424,-22.4338,43.27,81,75,32.21,broken clouds
225,Mountain Home,US,43.133,-115.6912,60.28,36,0,5.75,clear sky
226,Castro,BR,-24.7911,-50.0119,57.56,93,57,5.88,broken clouds
227,Pachora,IN,20.6667,75.35,84.2,56,84,8.52,broken clouds
228,Buin,CL,-33.7333,-70.75,55.74,86,79,0.94,broken clouds
229,Mindelo,CV,16.8901,-24.9804,78.35,83,75,8.05,broken clouds
230,Puerto Madryn,AR,-42.7692,-65.0385,60.62,47,68,18.12,broken clouds
231,Mouila,GA,-1.8685,11.0559,72.72,97,100,1.36,light rain
232,Alofi,NU,-19.0595,-169.9187,80.49,74,18,11.5,few clouds
233,Viedma,AR,-40.8135,-62.9967,49.8,89,38,10.02,scattered clouds
234,Half Moon Bay,US,37.4636,-122.4286,63.1,87,100,16.11,overcast clouds
235,Torbay,CA,47.6666,-52.7314,49.26,90,0,16.11,clear sky
236,Douglas,US,41.3,-96.167,67.59,71,100,0.0,overcast clouds
237,Thunder Bay,CA,48.4001,-89.3168,55.38,100,100,2.3,overcast clouds
238,Ulety,RU,51.3572,112.4849,37.9,35,57,9.01,broken clouds
239,Pandamatenga,BW,-18.5278,25.627,73.09,20,0,6.82,clear sky
240,Letnyaya Stavka,RU,45.4306,43.4472,58.19,83,100,7.07,overcast clouds
241,Mantua,IT,45.1667,10.7833,63.64,89,0,2.84,clear sky
242,Te Anau,NZ,-45.4167,167.7167,33.46,79,71,11.05,light snow
243,Channagiri,IN,14.0333,75.9333,80.56,63,58,9.84,broken clouds
244,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,89,76,5.39,broken clouds
245,Carnarvon,AU,-24.8667,113.6333,72.12,56,19,14.81,few clouds
246,Nhulunbuy,AU,-12.2333,136.7667,88.41,58,40,14.97,scattered clouds
247,Platanos,GR,37.6667,21.6167,67.08,66,9,5.88,clear sky
248,Asau,RO,46.4333,26.4,43.72,89,9,5.01,clear sky
249,Cockburn Town,TC,21.4612,-71.1419,82.29,78,99,6.71,overcast clouds
250,North Bend,US,43.4065,-124.2243,58.24,94,100,3.44,overcast clouds
251,Tamiahua,MX,21.2667,-97.45,74.55,86,82,2.57,broken clouds
252,Miandrivazo,MG,-19.5167,45.4667,81.57,50,0,0.13,clear sky
253,Erdenet,MN,49.0333,104.0833,38.35,26,2,5.79,clear sky
254,East Bethel,US,45.3194,-93.2025,66.09,71,75,0.0,broken clouds
255,Vestmannaeyjar,IS,63.4427,-20.2734,41.74,75,97,39.12,overcast clouds
256,Kamien Pomorski,PL,53.9685,14.7726,48.56,80,100,13.42,overcast clouds
257,Prieska,ZA,-29.6641,22.7474,65.71,14,31,1.43,scattered clouds
258,Aldan,RU,58.6031,125.3894,24.89,87,100,15.14,light snow
259,Tadine,NC,-21.55,167.8833,72.0,60,0,12.39,clear sky
260,Gaoua,BF,10.2992,-3.2508,71.67,89,100,4.12,overcast clouds
261,Chimore,BO,-16.9833,-65.1333,76.26,73,68,0.13,broken clouds
262,Roma,US,43.2128,-75.4557,52.66,94,75,1.99,broken clouds
263,Victoria,HK,22.2855,114.1577,91.45,71,46,8.99,scattered clouds
264,Boyolangu,ID,-8.1181,111.8935,81.41,73,91,10.67,overcast clouds
265,Sabha,LY,27.0377,14.4283,67.6,60,0,11.36,clear sky
266,Karakol,KG,42.4907,78.3936,52.7,41,10,5.1,clear sky
267,Coihaique,CL,-45.5752,-72.0662,46.35,71,75,2.3,broken clouds
268,Yinchuan,CN,38.4681,106.2731,56.37,42,99,1.7,overcast clouds
269,Antibes,FR,43.5624,7.1278,66.15,77,20,9.22,few clouds
270,Tuatapere,NZ,-46.1333,167.6833,36.01,72,100,19.04,overcast clouds
271,La Presa,US,32.7081,-116.9973,72.61,87,40,8.05,scattered clouds
272,Antofagasta,CL,-23.65,-70.4,58.28,84,36,6.93,scattered clouds
273,Guymon,US,36.6828,-101.4816,62.6,82,100,0.0,overcast clouds
274,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,100,75,17.16,light intensity drizzle rain
