City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Tamiahua,MX,74.55,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
252,Miandrivazo,MG,81.57,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
254,East Bethel,US,66.09,broken clouds,45.3194,-93.2025,Norquist Camp Ground
257,Prieska,ZA,65.71,scattered clouds,-29.6641,22.7474,Avenue GuestHouse
259,Tadine,NC,72.0,clear sky,-21.55,167.8833,
260,Gaoua,BF,71.67,overcast clouds,10.2992,-3.2508,
261,Chimore,BO,76.26,broken clouds,-16.9833,-65.1333,Bichito
264,Boyolangu,ID,81.41,overcast clouds,-8.1181,111.8935,Yos ega cv
265,Sabha,LY,67.6,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
269,Antibes,FR,66.15,few clouds,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
271,La Presa,US,72.61,scattered clouds,32.7081,-116.9973,Terrace Mobile Home Estates
273,Guymon,US,62.6,overcast clouds,36.6828,-101.4816,Simple Rewards
274,Praia Da Vitoria,PT,68.76,light intensity drizzle rain,38.7333,-27.0667,Hotel Branco I
276,Kawalu,ID,79.2,overcast clouds,-7.3817,108.2082,West Jontor
277,Lorengau,PG,85.03,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
278,Arraial Do Cabo,BR,68.13,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
279,Mount Hagen,PG,77.76,haze,-5.8581,144.2274,Highlander Hotel & Apartments
280,Mount Isa,AU,85.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
281,Hobyo,SO,80.08,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
284,Bengkulu,ID,82.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
285,Kaohsiung,TW,87.75,broken clouds,22.6163,120.3133,御宿商旅-中山館
286,Quatre Cocos,MU,76.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
287,Kathu,TH,85.82,broken clouds,7.9178,98.3332,Novotel Phuket Resort
288,Kahului,US,78.82,broken clouds,20.8947,-156.47,Maui Seaside Hotel
292,Hastings,GB,63.28,overcast clouds,50.8552,0.5729,Zanzibar Hotel
293,Samana,DO,78.4,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
294,Vanimo,PG,86.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
295,Airai,TL,71.35,overcast clouds,-8.9266,125.4092,
297,Champerico,GT,80.44,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
298,Harper,LR,76.53,overcast clouds,4.375,-7.7169,Screensaver
303,Yarmouth,US,60.94,mist,41.7057,-70.2286,Blue Rock Resort
306,Mogadishu,SO,78.67,broken clouds,2.0371,45.3438,Hotel Juba
307,Chiredzi,ZW,72.21,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
311,Iguape,BR,65.52,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
314,Laguna,US,75.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
317,Waingapu,ID,84.69,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
318,Villarrobledo,ES,60.78,clear sky,39.2699,-2.6012,Hotel Castillo
321,Biak,ID,83.68,broken clouds,-0.9131,122.8766,Penginapan Kim
322,Shingu,JP,75.56,overcast clouds,33.7333,135.9833,Shingu UI Hotel
323,Fukue,JP,73.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
324,Tura,IN,82.42,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
327,Vieques,PR,82.42,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
328,Presidente Epitacio,BR,72.54,clear sky,-21.7633,-52.1156,Hotel Itaverá
330,Kihei,US,78.82,broken clouds,20.785,-156.4656,Maui Sunset
332,Grand-Lahou,CI,75.36,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
333,Sao Joao Da Barra,BR,68.63,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
334,Sinnamary,GF,77.47,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
335,Machaneng,BW,69.85,clear sky,-23.1862,27.4886,BushBabies
341,Touros,BR,73.56,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
342,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
344,Matay,EG,71.91,clear sky,28.419,30.7792,Nag Aespen
345,La Palma,US,73.9,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
346,Mildura,AU,62.56,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
347,Sidrolandia,BR,72.43,clear sky,-20.9319,-54.9614,Agropet São Francisco
348,Tohana,IN,86.58,clear sky,29.7,75.9,Bhatia Hotel
349,Katra,IN,80.24,clear sky,32.9833,74.95,Hotel KC Residency
350,Vao,NC,69.31,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
351,Dingle,PH,88.14,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
353,Nabire,ID,85.51,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
356,Hadishahr,AZ,66.69,clear sky,38.8431,45.6635,هتل آپارتمان آرامیس
361,Tolaga Bay,NZ,60.08,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
363,Tela,HN,73.74,overcast clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
364,Cukai,MY,80.55,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
365,Honiara,SB,86.14,broken clouds,-9.4333,159.95,Heritage Park Hotel
367,Kidal,ML,84.58,scattered clouds,18.4411,1.4078,
368,Puerto Ayacucho,VE,74.84,moderate rain,5.6639,-67.6236,Posada Turistica Manapiare
370,Campoverde,PE,80.29,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
372,Puerto Del Rosario,ES,73.15,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
373,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
376,Lodwar,KE,82.2,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
378,Aljezur,PT,66.52,clear sky,37.3191,-8.8033,Amazigh Hostel
379,Hillsboro,US,60.08,clear sky,45.5229,-122.9898,Budget Inn-Hillsboro
381,Owerri,NG,72.81,overcast clouds,5.4833,7.0304,Dream Land Hotel
383,San Carlos,VE,73.15,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
384,Ginir,ET,60.93,overcast clouds,7.1333,40.7,Sura Dare Village
385,Bambanglipuro,ID,83.3,overcast clouds,-7.95,110.2833,Puri Brata
